,timestamp,quantity,price,fee,amount,side
0,2018-07-01 02:04:44,0.075,7109000,0,-533175,0
1,2018-07-01 02:05:54,0.075,7112000,0,533400,1
2,2018-07-01 02:42:54,0.08,7094000,0,-567520,0
3,2018-07-01 02:44:44,0.0025,7094000,0,17735,1
4,2018-07-01 02:46:33,0.0775,7094000,0,549785,1
5,2018-07-01 03:42:06,0.0001,7083000,0,-708,0
6,2018-07-01 05:36:48,0.131,7099000,0,-929969,0
7,2018-07-01 05:40:01,0.006999999999999999,7124000,0,49868,1
8,2018-07-01 05:40:08,0.006,7131000,0,42786,1
9,2018-07-01 05:40:53,0.1181,7125000,0,841463,1
10,2018-07-01 05:56:18,0.6237,7114000,0,-4437002,0
11,2018-07-01 05:56:25,0.0132,7114000,0,-93905,0
12,2018-07-01 05:57:11,0.6369,7121000,0,4535365,1
13,2018-07-01 08:19:36,0.0001,7124000,0,-712,0
14,2018-07-01 09:08:18,2.2014,7178000,0,-15801649,0
15,2018-07-01 09:08:19,0.1546,7178000,0,-1109719,0
16,2018-07-01 09:08:19,0.0322,7178000,0,-231132,0
17,2018-07-01 09:11:26,0.08,7186000,0,574880,1
18,2018-07-01 09:11:26,1.6332,7186000,0,11736175,1
19,2018-07-01 09:12:09,0.6751,7180000,0,4847218,1
20,2018-07-01 09:17:32,0.012,7171000,0,-86052,0
21,2018-07-01 09:22:00,0.012,7161000,0,85932,1
22,2018-07-01 09:36:28,0.0001,7117000,0,-712,0
23,2018-07-01 09:37:09,0.0049,7113000,0,-34854,0
24,2018-07-01 09:38:02,0.2489,7119000,0,-1771919,0
25,2018-07-01 09:39:19,0.0539,7121000,0,383822,1
26,2018-07-01 09:39:19,0.2,7121000,0,1424200,1
27,2018-07-01 09:39:41,0.001,7131000,0,-7131,0
28,2018-07-01 09:42:18,0.02,7119000,0,-142380,0
29,2018-07-01 09:43:35,0.1191,7123000,0,-848349,0
30,2018-07-01 09:46:53,0.4943,7129000,0,-3523865,0
31,2018-07-01 09:46:57,0.016,7129000,0,-114064,0
32,2018-07-01 09:47:02,0.0055,7130000,0,-39215,0
33,2018-07-01 09:49:19,0.6559,7133000,0,4678535,1
34,2018-07-01 09:57:31,0.00661424,7131000,0,-47166,0
35,2018-07-01 09:58:08,0.0066,7133000,0,47078,1
36,2018-07-01 10:26:05,0.0313,7065000,0,-221135,0
37,2018-07-01 10:26:09,0.0066,7074000,0,-46688,0
38,2018-07-01 10:27:59,0.1238,7071000,0,-875390,0
39,2018-07-01 10:32:27,1.28562629,7085000,0,-9108662,0
40,2018-07-01 10:32:27,1.95207371,7085000,0,-13830442,0
41,2018-07-01 10:36:16,0.028999999999999998,7080000,0,205320,1
42,2018-07-01 10:36:21,0.983,7079000,0,6958657,1
43,2018-07-01 10:36:21,0.0637,7079000,0,450932,1
44,2018-07-01 10:36:25,0.08,7076000,0,566080,1
45,2018-07-01 10:36:25,0.0767,7076000,0,542729,1
46,2018-07-01 10:36:25,0.0217,7076000,0,153549,1
47,2018-07-01 10:36:29,0.021,7078000,0,148638,1
48,2018-07-01 10:39:57,0.2059,7076000,0,1456948,1
49,2018-07-01 10:40:03,0.0175,7075000,0,123813,1
50,2018-07-01 10:40:03,0.0908,7075000,0,642410,1
51,2018-07-01 10:40:12,0.0655,7072000,0,463216,1
52,2018-07-01 10:41:17,0.4314,7080000,0,-3054312,0
53,2018-07-01 10:41:17,1.7335,7080000,0,-12273180,0
54,2018-07-01 10:53:04,0.08,7092000,0,567360,1
55,2018-07-01 11:00:10,0.0202,7089000,0,143198,1
56,2018-07-01 11:06:11,0.6988,7083000,0,4949600,1
57,2018-07-01 11:10:58,0.3908,7090000,0,2770772,1
58,2018-07-01 11:10:59,0.3529,7090000,0,2502061,1
59,2018-07-01 11:10:59,0.0692,7090000,0,490628,1
60,2018-07-01 11:10:59,0.14,7090000,0,992600,1
61,2018-07-01 11:10:59,0.02,7090000,0,141800,1
62,2018-07-01 11:19:30,0.021,7080000,0,148680,1
63,2018-07-01 11:20:27,0.63,7083000,0,4462290,1
64,2018-07-01 11:20:31,0.0453,7081000,0,320769,1
65,2018-07-01 11:20:31,0.0453,7081000,0,320769,1
66,2018-07-01 11:24:53,5.870000000000001e-05,7077000,0,-415,0
67,2018-07-01 11:26:33,0.0152,7073000,0,-107510,0
68,2018-07-01 11:26:37,0.0156,7076000,0,-110386,0
69,2018-07-01 11:26:54,0.0028,7079000,0,-19821,0
70,2018-07-01 11:27:26,0.035,7076000,0,-247660,0
71,2018-07-01 11:29:24,0.5,7068000,0,-3534000,0
72,2018-07-01 11:29:54,2.0353,7065000,0,-14379395,0
73,2018-07-01 11:35:05,0.076,7071000,0,537396,1
74,2018-07-01 12:00:34,1.091,7058000,0,7700278,1
75,2018-07-01 12:10:50,0.2219,7068000,0,1568389,1
76,2018-07-01 12:10:51,0.021,7068000,0,148428,1
77,2018-07-01 12:12:37,0.0551,7063000,0,389171,1
78,2018-07-01 12:12:41,0.0326,7063000,0,230254,1
79,2018-07-01 12:15:36,0.021,7077000,0,148617,1
80,2018-07-01 12:15:42,0.1286,7077000,0,910102,1
81,2018-07-01 12:15:43,0.0159,7077000,0,112524,1
82,2018-07-01 12:31:25,0.1748,7084000,0,1238283,1
83,2018-07-01 12:52:25,0.0235,7085000,0,166498,1
84,2018-07-01 12:52:25,0.0647,7085000,0,458400,1
85,2018-07-01 12:53:23,0.1128,7084000,0,799075,1
86,2018-07-01 12:53:23,0.1135,7084000,0,804034,1
87,2018-07-01 12:53:23,0.3672,7084000,0,2601245,1
88,2018-07-01 12:58:39,0.08,7080000,0,566400,1
89,2018-07-01 12:58:39,0.1996,7080000,0,1413168,1
90,2018-07-01 12:58:39,0.08,7080000,0,566400,1
91,2018-07-01 12:58:39,0.08,7080000,0,566400,1
92,2018-07-01 12:58:45,0.3,7078000,0,2123400,1
93,2018-07-01 12:58:45,0.1064,7078000,0,753099,1
94,2018-07-01 12:58:45,0.01,7078000,0,70780,1
95,2018-07-01 12:58:45,0.08,7078000,0,566240,1
96,2018-07-01 12:58:45,0.5444,7078000,0,3853263,1
97,2018-07-01 14:32:02,0.3288,7084000,0,-2329219,0
98,2018-07-01 14:34:55,0.0662,7083000,0,-468895,0
99,2018-07-01 14:46:28,0.1292,7111000,0,-918741,0
100,2018-07-01 14:46:47,0.1012,7154109,0,723995,1
101,2018-07-01 14:48:23,0.021,7174003,0,150654,1
102,2018-07-01 14:48:23,0.402,7174003,0,2883949,1
103,2018-07-01 14:49:46,0.0034,7079690,0,-24070,0
104,2018-07-01 14:50:44,6.221e-05,7082587,0,-440,0
105,2018-07-01 14:50:50,1.0,7082635,0,-7082635,0
106,2018-07-01 14:50:50,0.2326,7082635,0,-1647420,0
107,2018-07-01 14:50:54,0.062,7089072,0,-439522,0
108,2018-07-01 14:53:00,0.0098,7091810,0,-69499,0
109,2018-07-01 14:53:00,0.0212,7091810,0,-150346,0
110,2018-07-01 14:56:29,0.006999999999999999,7155228,0,50086,1
111,2018-07-01 14:56:29,0.08,7155228,0,572418,1
112,2018-07-01 14:59:50,1.2421,7161957,0,8895866,1
113,2018-07-01 15:17:29,0.0067,7075230,0,-47404,0
114,2018-07-01 15:17:54,0.0067,7161371,0,47981,1
115,2018-07-01 15:25:28,0.1368,7072114,0,-967465,0
116,2018-07-01 15:33:26,0.1164,7144407,0,831608,1
117,2018-07-01 15:33:30,0.0204,7143226,0,145721,1
118,2018-07-01 15:38:33,0.0056,7075077,0,-39620,0
119,2018-07-01 15:38:37,0.0002,7072058,0,-1414,0
120,2018-07-01 15:38:37,0.1565,7072058,0,-1106777,0
121,2018-07-01 15:38:38,0.3523,7076646,0,-2493102,0
122,2018-07-01 15:38:41,0.5218,7076835,0,-3692692,0
123,2018-07-01 15:41:18,0.3006,7074284,0,-2126529,0
124,2018-07-01 15:43:00,0.139,7077391,0,-983757,0
125,2018-07-01 15:45:53,0.43200000000000005,7161661,0,3093837,1
126,2018-07-01 15:48:33,1.044,7159759,0,7474788,1
127,2018-07-01 16:02:51,0.006,7072175,0,-42433,0
128,2018-07-01 16:08:25,0.006,7152319,0,42913,1
129,2018-07-01 16:22:43,0.1,7082454,0,-708245,0
130,2018-07-01 16:22:43,0.08,7082454,0,-566596,0
131,2018-07-01 16:29:33,0.18,7170352,0,1290663,1
132,2018-07-01 18:26:49,0.0065,7081451,0,-46029,0
133,2018-07-01 18:31:24,0.0065,7141800,0,46421,1
134,2018-07-01 18:57:55,0.402,7056086,0,-2836546,0
135,2018-07-01 18:59:10,0.402,7122367,0,2863191,1
136,2018-07-01 19:01:51,0.0439,7055402,0,-309732,0
137,2018-07-01 19:01:55,0.02,7055344,0,-141106,0
138,2018-07-01 19:02:00,0.015,7054649,0,-105819,0
139,2018-07-01 19:23:03,0.0789,7134688,0,562926,1
140,2018-07-01 19:48:57,0.3,7059905,0,-2117971,0
141,2018-07-01 19:48:57,0.08,7059905,0,-564792,0
142,2018-07-01 19:48:57,0.08,7059905,0,-564792,0
143,2018-07-01 19:48:57,0.08,7059905,0,-564792,0
144,2018-07-01 19:48:58,0.08,7059082,0,-564726,0
145,2018-07-01 19:48:58,0.02,7059082,0,-141181,0
146,2018-07-01 19:48:58,0.366,7059082,0,-2583624,0
147,2018-07-01 19:49:03,0.0052,7058797,0,-36705,0
148,2018-07-01 19:49:59,0.14,7128695,0,998017,1
149,2018-07-01 19:50:00,0.2792,7131030,0,1990983,1
150,2018-07-01 19:59:21,0.5920000000000001,7154109,0,4235232,1
151,2018-07-01 20:05:46,0.02,7071128,0,-141422,0
152,2018-07-01 20:12:00,0.02,7137793,0,142755,1
153,2018-07-01 22:10:38,4.0,7047761,0,-28191044,0
154,2018-07-01 23:27:40,0.3096,7104814,0,2199650,1
155,2018-07-01 23:27:45,3.6904,7100745,0,26204589,1
156,2018-07-01 23:36:57,0.0077,6983747,0,-53774,0
157,2018-07-01 23:37:25,0.0438,6987825,0,-306066,0
158,2018-07-01 23:37:35,0.0432,6985688,0,-301781,0
159,2018-07-01 23:37:39,0.005,6987843,0,-34939,0
160,2018-07-01 23:39:21,0.0908,6992331,0,-634903,0
161,2018-07-01 23:39:25,0.0001,6989842,0,-698,0
162,2018-07-01 23:40:46,0.1906,7058824,0,1345411,1
163,2018-07-01 23:42:14,0.9836,6992261,0,-6877587,0
164,2018-07-01 23:42:14,0.021,6992261,0,-146837,0
165,2018-07-01 23:42:44,0.01,6993144,0,-69931,0
166,2018-07-01 23:42:44,0.0046,6993144,0,-32168,0
167,2018-07-01 23:42:48,0.0523,7012367,0,-366746,0
168,2018-07-01 23:42:52,0.1421,6993750,0,-993811,0
169,2018-07-01 23:44:53,0.021,7074528,0,148565,1
170,2018-07-01 23:44:53,0.141,7074528,0,997508,1
171,2018-07-01 23:45:32,0.0098,7083913,0,69422,1
172,2018-07-01 23:46:01,0.4307,7078466,0,3048695,1
173,2018-07-01 23:52:57,1.4680000000000002,6995612,0,-10269558,0
174,2018-07-02 00:00:22,0.5468,7058176,0,3859410,1
175,2018-07-02 00:00:39,0.0092,6991328,0,-64320,0
176,2018-07-02 00:01:16,0.08,6992044,0,-559363,0
177,2018-07-02 00:01:16,0.08,6992044,0,-559363,0
178,2018-07-02 00:01:16,0.0074,6992044,0,-51741,0
179,2018-07-02 00:05:41,2.2911,6991360,0,-16017904,0
180,2018-07-02 00:39:09,0.1428,7034434,0,1004517,1
181,2018-07-02 00:39:09,0.0714,7034434,0,502258,1
182,2018-07-02 00:39:09,0.0149,7034434,0,104813,1
183,2018-07-02 00:39:09,0.0171,7034434,0,120288,1
184,2018-07-02 00:39:09,0.0474,7034434,0,333432,1
185,2018-07-02 00:39:09,2.0,7034434,0,14068868,1
186,2018-07-02 00:39:09,0.0192,7034434,0,135061,1
187,2018-07-02 00:39:09,0.0685,7034434,0,481858,1
188,2018-07-02 00:39:10,0.01,7034803,0,70348,1
189,2018-07-02 00:39:10,0.4896,7034803,0,3444239,1
190,2018-07-02 00:39:14,0.7419,7036030,0,5220030,1
191,2018-07-02 00:39:15,0.0195,7036034,0,137202,1
192,2018-07-02 00:39:15,0.0418,7036034,0,294106,1
193,2018-07-02 00:39:15,0.0021,7036034,0,14775,1
194,2018-07-02 00:39:15,0.0022,7036034,0,15479,1
195,2018-07-02 00:39:18,0.0398,7034169,0,279959,1
196,2018-07-02 00:44:31,0.0029,7023002,0,20366,1
197,2018-07-02 00:45:45,0.2689,7029776,0,1890306,1
198,2018-07-02 00:53:38,0.7314,6956389,0,-5087902,0
199,2018-07-02 00:53:38,0.3436,6956389,0,-2390215,0
200,2018-07-02 00:55:35,0.0688,6962670,0,-479031,0
201,2018-07-02 00:56:47,0.9848,6963145,0,-6857305,0
202,2018-07-02 00:58:42,1.0353,7065065,0,7314461,1
203,2018-07-02 01:00:40,0.0767,7051800,0,540873,1
204,2018-07-02 01:00:40,0.0014,7051800,0,9872,1
205,2018-07-02 01:00:53,0.08,7056431,0,564514,1
206,2018-07-02 01:02:49,0.021,6977513,0,-146527,0
207,2018-07-02 01:02:49,0.3973,6977513,0,-2772165,0
208,2018-07-02 01:02:53,0.08,6978594,0,-558287,0
209,2018-07-02 01:02:53,0.0151,6978594,0,-105376,0
210,2018-07-02 01:03:23,0.4183,6982752,0,-2920885,0
211,2018-07-02 01:03:51,0.0869,6986621,0,-607137,0
212,2018-07-02 01:04:13,0.0001,6995264,0,-699,0
213,2018-07-02 01:04:13,0.01,6995264,0,-69952,0
214,2018-07-02 01:05:02,0.2125,7073663,0,1503153,1
215,2018-07-02 01:11:37,2.2485,6983218,0,-15701765,0
216,2018-07-02 01:18:12,0.08,7056528,0,564522,1
217,2018-07-02 01:18:37,0.059000000000000004,7055888,0,416297,1
218,2018-07-02 01:55:27,0.0005,7043686,0,3521,1
219,2018-07-02 01:56:59,0.046,7043718,0,324011,1
220,2018-07-02 02:18:48,0.01,7063072,0,70630,1
221,2018-07-02 02:19:13,3.8044,7062661,0,26869187,1
222,2018-07-02 02:39:17,0.0409,7006749,0,-286576,0
223,2018-07-02 02:42:22,0.021,7007450,0,-147156,0
224,2018-07-02 02:47:17,0.0327,7024891,0,-229713,0
225,2018-07-02 02:51:12,0.08,7124910,0,569992,1
226,2018-07-02 02:51:16,0.0146,7111092,0,103821,1
227,2018-07-02 04:26:13,1.3124,6985200,0,-9167376,0
228,2018-07-02 04:26:17,0.08,6986512,0,-558920,0
229,2018-07-02 04:27:33,2.6075,6983822,0,-18210315,0
230,2018-07-02 04:39:34,0.0293,7069424,0,207134,1
231,2018-07-02 04:42:49,0.0199,7071359,0,140720,1
232,2018-07-02 04:45:27,0.021,7069742,0,148464,1
233,2018-07-02 04:45:27,0.28300000000000003,7069742,0,2000736,1
234,2018-07-02 04:50:13,0.08,7064440,0,565155,1
235,2018-07-02 04:50:14,0.5949,7064437,0,4202633,1
236,2018-07-02 04:50:17,0.08,7064550,0,565164,1
237,2018-07-02 04:50:22,0.3274,7054184,0,2309539,1
238,2018-07-02 04:50:26,0.28,7054292,0,1975201,1
239,2018-07-02 04:50:30,0.0406,7053624,0,286377,1
240,2018-07-02 04:50:30,0.08,7053624,0,564289,1
241,2018-07-02 04:50:30,0.0142,7053624,0,100161,1
242,2018-07-02 04:52:22,0.406,7058457,0,2865733,1
243,2018-07-02 04:52:23,0.0381,7059405,0,268963,1
244,2018-07-02 04:53:36,0.0291,7061004,0,205475,1
245,2018-07-02 04:56:23,1.5561,7055214,0,10978618,1
246,2018-07-02 04:57:19,0.0004,7059379,0,2823,1
247,2018-07-02 05:03:06,0.08,6997385,0,-559790,0
248,2018-07-02 05:12:16,0.015,7061002,0,105915,1
249,2018-07-02 05:12:16,0.015,7061002,0,105915,1
250,2018-07-02 05:12:16,0.0232,7061002,0,163815,1
251,2018-07-02 05:17:51,0.021,7056620,0,148189,1
252,2018-07-02 05:17:52,0.1257,7056785,0,887037,1
253,2018-07-02 05:30:30,0.0139,7022234,0,-97609,0
254,2018-07-02 05:30:38,0.0139,7139353,0,99237,1
255,2018-07-02 05:38:03,0.016,7017830,0,-112285,0
256,2018-07-02 05:38:03,0.015,7017830,0,-105267,0
257,2018-07-02 05:39:36,0.0005,7041725,0,-3520,0
258,2018-07-02 05:40:07,0.0003,7147445,0,2144,1
259,2018-07-02 05:41:08,0.0312,7134645,0,222600,1
260,2018-07-02 05:45:27,0.0438,7011784,0,-307116,0
261,2018-07-02 05:45:37,0.2839,7020794,0,-1993203,0
262,2018-07-02 05:47:19,0.3277,7118667,0,2332787,1
263,2018-07-02 06:01:49,0.021,7015431,0,-147324,0
264,2018-07-02 06:02:23,0.013999999999999999,7108703,0,99521,1
